I, [2014-09-16T12:20:03.987377 #27276]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2014-09-16T12:20:03.987647 #27276] ERROR -- Kitchen: ------Exception-------
E, [2014-09-16T12:20:03.987672 #27276] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-09-16T12:20:03.987687 #27276] ERROR -- Kitchen: Message: Kitchen YAML file /home/chri7765/devops/cstevens/cookbooks/cstevens-app/.kitchen.yml does not exist.
E, [2014-09-16T12:20:03.987709 #27276] ERROR -- Kitchen: ------Backtrace-------
E, [2014-09-16T12:20:03.987721 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2014-09-16T12:20:03.987742 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:78:in `data'
E, [2014-09-16T12:20:03.987754 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:66:in `suites'
E, [2014-09-16T12:20:03.987775 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:90:in `filter_instances'
E, [2014-09-16T12:20:03.987786 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:72:in `build_instances'
E, [2014-09-16T12:20:03.987798 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:52:in `instances'
E, [2014-09-16T12:20:03.987809 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2014-09-16T12:20:03.987820 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2014-09-16T12:20:03.987831 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:37:in `block in call'
E, [2014-09-16T12:20:03.987842 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/rubies/ruby-2.1.2/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2014-09-16T12:20:03.987853 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:36:in `call'
E, [2014-09-16T12:20:03.987864 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:47:in `perform'
E, [2014-09-16T12:20:03.987875 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2014-09-16T12:20:03.987886 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2014-09-16T12:20:03.987897 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2014-09-16T12:20:03.987910 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:233:in `invoke_task'
E, [2014-09-16T12:20:03.987922 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2014-09-16T12:20:03.987933 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2014-09-16T12:20:03.987944 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/bin/kitchen:13:in `block in <top (required)>'
E, [2014-09-16T12:20:03.987955 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2014-09-16T12:20:03.987966 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/gems/test-kitchen-1.2.1/bin/kitchen:13:in `<top (required)>'
E, [2014-09-16T12:20:03.987977 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/bin/kitchen:23:in `load'
E, [2014-09-16T12:20:03.987988 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/bin/kitchen:23:in `<main>'
E, [2014-09-16T12:20:03.988008 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/bin/ruby_executable_hooks:15:in `eval'
E, [2014-09-16T12:20:03.988040 #27276] ERROR -- Kitchen: /home/chri7765/.rvm/gems/ruby-2.1.2/bin/ruby_executable_hooks:15:in `<main>'
E, [2014-09-16T12:20:03.988063 #27276] ERROR -- Kitchen: ----------------------
